vec_size,value_type,encrypt_ms,total_ms,ciphertext_bytes
8,CONST,95.9087,231.17,13123073,
8,CONST,92.8488,234.3,13123073,
8,CONST,66.8352,226.434,13123073,
8,RANDOM,106.359,239.28,131230723.8963,
8,RANDOM,99.1391,249.518,131230723.8963,
8,RANDOM,98.238,228.609,131230723.8963,
32,CONST,93.4762,226.006,13123073,
32,CONST,88.6391,218.575,13123073,
32,CONST,91.9712,238.738,13123073,
32,RANDOM,99.0387,224.972,131230723.8963,
32,RANDOM,93.497,222.928,131230723.8963,
32,RANDOM,91.6028,216.349,131230723.8963,
128,CONST,96.4798,227.675,13123073,
128,CONST,82.85,218.648,13123073,
128,CONST,86.0688,221.441,13123073,
128,RANDOM,86.3592,227.595,131230723.8963,
128,RANDOM,92.8831,219.286,131230723.8963,
128,RANDOM,90.4089,230.881,131230723.8963,
512,CONST,89.3034,213.678,13123073,
512,CONST,104.179,244.828,13123073,
512,CONST,98.5156,237.666,13123073,
512,RANDOM,84.1804,229.482,131230723.8963,
512,RANDOM,105.858,235.036,131230723.8963,
512,RANDOM,84.3283,205.576,131230723.8963,
