vec_size,value_type,encrypt_ms,total_ms,ciphertext_bytes
8,CONST,0,0.166833,68,
8,CONST,0,0.218761,68,
8,CONST,0,0.3683,68,
8,RANDOM,0,0.251445,68,
8,RANDOM,0,0.224417,68,
8,RANDOM,0,0.42218,68,
32,CONST,0,0.352831,260,
32,CONST,0,0.304134,260,
32,CONST,0,0.253247,260,
32,RANDOM,0,0.33056,260,
32,RANDOM,0,0.280784,260,
32,RANDOM,0,0.396192,260,
128,CONST,0,0.430192,1028,
128,CONST,0,0.49988,1028,
128,CONST,0,0.525268,1028,
128,RANDOM,0,0.532946,1028,
128,RANDOM,0,0.415594,1028,
128,RANDOM,0,0.39291,1028,
512,CONST,0,0.617537,4100,
512,CONST,0,0.690953,4100,
512,CONST,0,0.749803,4100,
512,RANDOM,0,0.890443,4100,
512,RANDOM,0,0.773766,4100,
512,RANDOM,0,0.936831,4100,
